species	genome_assembly	clade;qual	lifespan_days;quant	length_cm;quant	weight_kg;quant	RGBIF_observation;quant	genome_size;quant	GC_content_proportion;quant	No_prot_annot;quant	median_coverage_exon;buscodataset_embryophyta;quant	No_genes;buscodataset_embryophyta;quant	No_introns;buscodataset_embryophyta;quant	median_length_introns;buscodataset_embryophyta;quant	No_multi_exonic_genes;buscodataset_embryophyta;quant	No_intron_per_gene;buscodataset_embryophyta;quant	prop_intron_annotated;buscodataset_embryophyta;quant	median_gene_fpkm;buscodataset_embryophyta;quant	average_svr;svr_class_all;buscodataset_embryophyta;quant	average_svr;svr_class_high_SV;buscodataset_embryophyta;quant	average_svr;svr_class_low_SV;buscodataset_embryophyta;quant	median_coverage_exon;buscodataset_eukaryota;quant	No_genes;buscodataset_eukaryota;quant	No_introns;buscodataset_eukaryota;quant	median_length_introns;buscodataset_eukaryota;quant	No_multi_exonic_genes;buscodataset_eukaryota;quant	No_intron_per_gene;buscodataset_eukaryota;quant	prop_intron_annotated;buscodataset_eukaryota;quant	median_gene_fpkm;buscodataset_eukaryota;quant	average_svr;svr_class_all;buscodataset_eukaryota;quant	average_svr;svr_class_high_SV;buscodataset_eukaryota;quant	average_svr;svr_class_low_SV;buscodataset_eukaryota;quant	median_coverage_exon;buscodataset_None;quant	No_genes;buscodataset_None;quant	No_introns;buscodataset_None;quant	median_length_introns;buscodataset_None;quant	No_multi_exonic_genes;buscodataset_None;quant	No_intron_per_gene;buscodataset_None;quant	prop_intron_annotated;buscodataset_None;quant	median_gene_fpkm;buscodataset_None;quant	average_svr;svr_class_all;buscodataset_None;quant	average_svr;svr_class_high_SV;buscodataset_None;quant	average_svr;svr_class_low_SV;buscodataset_None;quant	median_coverage_exon;buscodataset_metazoa;quant	No_genes;buscodataset_metazoa;quant	No_introns;buscodataset_metazoa;quant	median_length_introns;buscodataset_metazoa;quant	No_multi_exonic_genes;buscodataset_metazoa;quant	No_intron_per_gene;buscodataset_metazoa;quant	prop_intron_annotated;buscodataset_metazoa;quant	median_gene_fpkm;buscodataset_metazoa;quant	average_svr;svr_class_all;buscodataset_metazoa;quant	average_svr;svr_class_high_SV;buscodataset_metazoa;quant	average_svr;svr_class_low_SV;buscodataset_metazoa;quant	Embryophyta_dn;quant	Embryophyta_ds;quant	Embryophyta_dnds;quant	Eukaryota_dn;quant	Eukaryota_ds;quant	Eukaryota_dnds;quant	Metazoa_dn;quant	Metazoa_ds;quant	Metazoa_dnds;quant	per_clade_dn;quant	per_clade_ds;quant	per_clade_dnds;quant
Brassica_carinata	GCA_016771965.1	Embryophyta	NA	NA	NA	3141	1086.791717	0.37	97148	199.390291649522	360	2087	92	280	7.45357142857143	0.947771921418304	1.7396	0.0129394394544265	0.177073671451754	0.00274891716248051	317.244878681498	57	522	92	52	10.0384615384615	0.96360153256705	3.70905	0.0116610838861701	0.206922839175537	0.00225087881198374	29.242121348173	97148	203827	93	39252	5.19277998573321	0.96229645728976	0	0.0105858489121454	0.164287709567996	0.00234770630165368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lupinus_albus	GCA_010261695.1	Embryophyta	NA	NA	NA	11497	557.363577	0.37	47603	2059.58183306056	1126	7213	250	978	7.37525562372188	0.932898932483017	5.5003625	0.0211500689362077	0.152498458092167	0.00581693912917978	4590.01361107209	153	1313	238	144	9.11805555555556	0.942878903274943	12.79085	0.0117629401248924	0.14021490401091	0.00398111678769425	397.929702970297	47603	131680	220	22206	5.92992884805908	0.928941373025516	0.370585	0.0162654378477659	0.152195569493763	0.00483273165584481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1725017564	0.7389115174	0.233453874162065	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ziziphus_jujuba	GCF_000826755.1	Embryophyta	NA	NA	NA	14937	417.31336	0.33	43572	2047.40679565833	1158	7290	212	991	7.35620585267407	0.992181069958848	5.1705425	0.0378349203179685	0.162585529389481	0.00867929480980163	4982.61189046802	220	1771	185	202	8.76732673267327	0.997176736307171	13.3008	0.025620767693003	0.152191707841179	0.00748083953748647	1147.86592449177	30009	87389	191	16747	5.21818833223861	0.985226973646569	0.1967475	0.0342809834258364	0.170922599389382	0.00711648696447718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.123423259	0.55747173	0.221398238436234	0.09781743738	0.5661486407	0.172776953520645	NA	NA	NA	NA	NA	NA
Setaria_viridis	GCF_005286985.1	Embryophyta	NA	NA	NA	132260	395.259604	0.46	39206	1391.92951531213	1396	8629	154	1183	7.29416737109045	0.99513269208483	1.91634	0.0209469344473477	0.17013904647212	0.00468746766968332	2070.7589802795	218	1809	140	203	8.91133004926108	0.998894416804865	2.8016975	0.00934845703527631	0.156928224389196	0.00331959427225656	716.499607289874	28032	96113	135	17252	5.57112218873174	0.996639372405398	0.42658225	0.0149459019493374	0.160664089387019	0.00370201302984535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05115940052	0.2355279212	0.217211616607263	0.03645201694	0.2120660643	0.171889911100689	NA	NA	NA	NA	NA	NA
Tarenaya_hassleriana	GCF_000463585.1	Embryophyta	NA	NA	NA	965	219.150222	0.39	41094	1823.74890254609	1281	8280	125	1114	7.4326750448833	0.995410628019324	10.40415	0.0211027168546565	0.156482069910196	0.00543220556578586	3143.53067799285	186	1637	121	176	9.30113636363636	0.994502138057422	13.166275	0.0113288051381861	0.158594556938155	0.00425778632576762	1494.87908154634	27396	117346	120	20149	5.82391185666782	0.995031786341247	6.29796	0.0160510726350968	0.159116385037434	0.00433418143653178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1661803796	0.925387277	0.179579278568361	0.134756728	0.9917990453	0.135870999915349	NA	NA	NA	NA	NA	NA
Juglans_regia	GCF_001411555.2	Embryophyta	NA	NA	NA	184068	572.342801	0.36	45959	3290.59658950976	1212	7637	306	1019	7.4946025515211	0.995547990048448	8.47992	0.0285352995068835	0.158000838294627	0.00732599530133268	5103.22918554004	198	1761	262	189	9.31746031746032	0.997160704145372	11.214225	0.0179492385974524	0.14046568833729	0.00553669021855703	1774.67152575316	30709	116047	244	19781	5.8665891512057	0.996113643609917	2.8476375	0.021137650066185	0.153239162427314	0.00569501747229005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1370479597	0.5805307618	0.236073553234402	0.1636968424	0.9738949781	0.16808469709882	NA	NA	NA	NA	NA	NA
Morus_notabilis	GCF_000414095.1	Embryophyta	NA	NA	NA	121	304.105745	0.35	27648	243.195405333059	1355	8454	203.5	1161	7.28165374677003	0.994677075940383	5.89596	0.0262085796034885	0.152683428461018	0.00591357640315195	643.960818663173	272	2236	177	254	8.80314960629921	0.999552772808587	15.635825	0.016709454493021	0.150943418651908	0.00453017774494636	255.362941345619	21636	83492	194	14297	5.83982653703574	0.995700186844249	4.41017	0.0205081492919616	0.154836646024125	0.00488270911694534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1682443597	0.7873617097	0.213681155214043	0.1280049929	0.7707573221	0.166076908035383	NA	NA	NA	NA	NA	NA
Vanilla_planifolia	GCA_016413895.1	Embryophyta	NA	NA	NA	2193	736.619908	0.31	29167	3862.12568306011	1044	6417	307	917	6.99781897491821	0.953560853981611	9.7329225	0.044057033212548	0.174231757754644	0.00862287445039547	6414.45427973583	227	1783	240	213	8.37089201877934	0.952327537857543	17.83225	0.0279871323738257	0.163307800196229	0.00653278347930558	2197.7093495935	29167	89255	174	17096	5.22081188582125	0.941964035628256	2.93983	0.032942741491861	0.169282087099899	0.00680604276907902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2780262365	1.334647287	0.20831439078181	0.2291905703	1.476256994	0.155251132581594	NA	NA	NA	NA	NA	NA
Tetracentron_sinense	GCA_015143295.1	Embryophyta	NA	NA	NA	741	1161.254448	0.38	32739	864.215981012658	1155	7201	460	988	7.28846153846154	0.887654492431607	5.50521	0.02487420814328	0.152998148700175	0.00650394483383642	1695.98115299335	189	1460	322.5	182	8.02197802197802	0.871232876712329	8.700595	0.0167354216643888	0.153052008277551	0.00497000198646701	604.135109114249	32687	106905	273	21358	5.00538439928832	0.848968710537393	1.846665	0.0206502157912347	0.162913137937254	0.00496060390302058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1680359688	0.7505186354	0.223893133193745	NA	NA	NA	NA	NA	NA	NA	NA	NA
Benincasa_hispida	GCF_009727055.1	Embryophyta	NA	NA	NA	871	898.172585	0.35	33043	4055.2875491318	1362	8790	253	1177	7.46813933729822	0.994084186575654	10.479625	0.0328658552892496	0.160030424178517	0.00718254225090027	5945.74713045419	263	2285	215	247	9.25101214574899	0.998687089715536	15.06755	0.0172513739381391	0.143701456895912	0.00518830274513967	3014.21966567343	21004	86564	213	14543	5.95227944715671	0.996002957349476	6.61094	0.0235299223102319	0.157393323494034	0.00590954729853572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04445846483	0.2002608292	0.222002800086279	0.03674497105	0.2234787166	0.164422686907448	NA	NA	NA	NA	NA	NA
Cucurbita_moschata	GCF_002738365.1	Embryophyta	NA	NA	NA	12545	262.973665	0.36	43715	2897.45321451305	1081	6938	214	916	7.57423580786026	0.995675987316229	6.82728	0.028127672289741	0.157545517521281	0.00777053666783242	4898.52087515069	150	1449	184	147	9.85714285714286	0.997239475500345	10.1241975	0.0156285980630019	0.129986009663078	0.00614154822173999	2826.91574903624	27814	125269	156	21183	5.9136571779257	0.996112366187964	5.530435	0.0208092838705425	0.150452936443302	0.00623417316383938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01000813139	0.05026649432	0.199101439744088	NA	NA	NA	NA	NA	NA	NA	NA	NA
Digitaria_exilis	GCA_015342445.1	Embryophyta	NA	NA	NA	1923	760.650579	0.45	61938	559.009274413529	238	1391	144	216	6.43981481481481	0.925233644859813	2.308735	0.030156188002141	0.162511945362816	0.00582525728732747	1042.92758587346	37	229	125	35	6.54285714285714	0.930131004366812	5.26219	0.0184161262647111	0.170761394265347	0.00383763171919572	166.834419210722	61936	168026	133	31242	5.37820882145829	0.903241165057789	0.418547	0.0193188114221077	0.159506264332801	0.00418264866817308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arachis_ipaensis	GCF_000816755.2	Embryophyta	NA	NA	NA	55	1257.035815	0.37	57621	746.789898989899	1214	7731	191	1068	7.23876404494382	0.994179278230501	7.16076	0.0225157908245764	0.160591275352864	0.0053015501727372	1098.09493401447	211	1777	167	197	9.02030456852792	0.997749015194147	11.6092	0.0119261416420058	0.160068202669819	0.00383767302802436	176.961136024836	37716	104495	177	19148	5.45722790891999	0.99251638834394	0.516323	0.0177272001239731	0.16324262994814	0.00409298173240132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1865688793	0.8949520875	0.208468008406092	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salix_suchowensis	GCA_017552425.1	Embryophyta	NA	NA	NA	175	355.494041	0.35	36449	813.118064246976	1138	7094	199	969	7.32094943240454	0.974203552297716	3.2415575	0.0204298090841564	0.151196021782356	0.0053382367381692	1457.62730318258	163	1405	175	154	9.12337662337662	0.979359430604982	6.750665	0.0140081831452738	0.141247340430883	0.00436294840463422	555.585477415666	36449	119893	174	22199	5.40082886616514	0.968113234300585	0.844238	0.0165294127134308	0.157943327286798	0.00415508589985682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02436696536	0.09259844913	0.263146581707766	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hibiscus_syriacus	GCF_006381635.1	Embryophyta	NA	NA	NA	73687	1826.927953	0.34	81925	132.010966760325	602	3606	165	472	7.63983050847458	0.99057127010538	2.7462425	0.0182174457913397	0.146571146282672	0.00385038033393801	222.843342036554	56	499	149	52	9.59615384615385	0.987975951903808	4.067635	0.014033920691735	0.178157463529918	0.00241143804439589	69.9570175438596	64995	192550	141	37480	5.13740661686233	0.989587120228512	1.192781	0.0162706976759428	0.161566600262026	0.00322868615850958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solanum_chilense	GCA_006013705.1	Embryophyta	NA	NA	NA	1402	716.693418	0.34	25885	3094.02005759941	1284	7744	299	1059	7.31255901794145	0.990573347107438	7.5362875	0.024065691619168	0.146844016158951	0.0076964462429435	5487.24283149196	238	1941	238	216	8.98611111111111	0.994332818134982	11.04975	0.0132921301931901	0.147987176874937	0.00480914532550074	1508.21739130435	25885	85033	215	14943	5.69049053068326	0.986793362576882	2.25044	0.0169596573595752	0.138256228228791	0.00597526441201026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04300452696	0.1715953694	0.250615894300467	0.0481345777	0.2183623903	0.220434378071561	NA	NA	NA	NA	NA	NA
Dichanthelium_oligosanthes	GCA_001633215.2	Embryophyta	NA	NA	NA	5962	475.581441	0.47	26468	168.299182139699	1172	6377	159	950	6.71263157894737	0.80884428414615	3.314285	0.0167525526516867	0.151872658082583	0.00364267144352812	234.727965785613	223	1596	135	201	7.94029850746269	0.838345864661654	3.3702	0.00882783680412543	0.130592413061108	0.00248676790214679	29.1831011983736	26468	61821	137	11526	5.36361270171786	0.82166254185471	0.3897595	0.0131249431838492	0.151963864871688	0.00301530126797641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07940725972	0.2917856163	0.272142474762557	0.07313750917	0.333150755	0.21953277329358	NA	NA	NA	NA	NA	NA
Senna_tora	GCA_014851425.1	Embryophyta	NA	NA	NA	6011	526.327577	0.35	45268	1000.22089189189	1263	7943	258	1077	7.37511606313835	0.926224348482941	5.89635	0.0248543964135585	0.16901534227232	0.00606239037874626	1819.7465214761	227	1903	226	216	8.81018518518519	0.897004729374672	10.2161	0.0133071763869696	0.144160720700375	0.0043435983935752	84.6283909175263	45268	94903	209	17266	5.49652496235376	0.891678872111524	0	0.0182455164295876	0.160987952873953	0.00478157802668518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1693657653	0.8022024391	0.211125966520388	0.1195577034	0.7939642326	0.150583235983419	NA	NA	NA	NA	NA	NA
Capsicum_chinense	GCA_002271895.2	Embryophyta	NA	NA	NA	5469	3019.857462	0.35	34974	2044.25236386421	1256	7169	356	1029	6.96695821185617	0.968893848514437	5.92084	0.0293448627924463	0.150658957344894	0.00803830404110628	3277.54526315789	251	1926	260	230	8.37391304347826	0.961059190031153	9.65246	0.0171671287657914	0.13704317237187	0.0063063320630889	501.660025706941	34974	87364	268	16923	5.16244164746203	0.944130305388947	0.30641825	0.0233771142359156	0.153865589990142	0.00652362470867698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01355767693	0.03213060038	0.42195529400811	0.005261419984	0.01583434449	0.332278989340089	NA	NA	NA	NA	NA	NA
Ipomoea_nil	GCF_001879475.1	Embryophyta	NA	NA	NA	9898	735.019208	0.38	51054	440.090057049715	1277	8270	189	1109	7.45716862037872	0.994316807738815	7.94884	0.0195798003103317	0.159690359537362	0.00461617259845139	789.171840354767	216	1805	180	203	8.89162561576355	0.998337950138504	13.86	0.0099629952195625	0.152928265946682	0.00307210237963744	186.086481423665	35267	113373	162	20066	5.65000498355427	0.994804759510642	1.41544	0.0146318321439495	0.159797080253154	0.00365078353697897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0280586352	0.09811232778	0.285984807769689	0.02091360919	0.08875748822	0.235626419915829	NA	NA	NA	NA	NA	NA
Citrus_unshiu	GCA_002897195.1	Embryophyta	NA	NA	NA	39242	331.45732	0.34	37970	1126.83502366464	1262	7135	203	1027	6.94741966893866	0.932165381920112	8.186425	0.0245453964457271	0.155925733433433	0.00656328849919442	2052.94780987885	256	1927	178	234	8.23504273504273	0.934613388687078	16.0713	0.0131099988158596	0.137758068330453	0.00475871619611108	607.138351983723	29035	80531	177	14279	5.6398207157364	0.913983434950516	1.490355	0.0189856007129777	0.153272292665859	0.00524757785882496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1739008906	0.8131483443	0.213861212187184	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corchorus_capsularis	GCA_001974805.1	Embryophyta	NA	NA	NA	1104	317.175099	0.35	29356	4720.01196387841	1269	9342	173	1133	8.24536628420124	0.941982444872618	8.1362	0.0214509206337112	0.165027215846836	0.00565343377922531	8227.71400519374	252	2309	150	236	9.78389830508475	0.950627977479428	13.523725	0.0122882910653761	0.167014197701684	0.00417822759082032	1356.16530426307	29356	88249	148	14605	6.04238274563506	0.920826298314995	0.50132725	0.0160539436524305	0.161137556198873	0.00456215479483492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03035061256	0.1048789256	0.289387142234417	0.01352702341	0.07107382319	0.190323565032354	NA	NA	NA	NA	NA	NA
Corchorus_olitorius	GCA_001974825.1	Embryophyta	NA	NA	NA	3980	334.911103	0.35	35704	4228.69047619048	1230	8373	172	1073	7.80335507921715	0.907321151319718	8.133485	0.0211734870120103	0.16587645560022	0.00542115749545505	6984.062020476	256	2074	148	240	8.64166666666667	0.916104146576664	12.321025	0.0112969284227939	0.153428281661768	0.0037935473380968	554.399577131822	35704	85957	143	16016	5.36694555444555	0.884570192072781	0.03943835	0.0148733454275983	0.162303386813162	0.0041898224844879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02551832901	0.09261096257	0.275543286689327	0.02127515296	0.08893610556	0.239218400963677	NA	NA	NA	NA	NA	NA
Gossypium_trilobum	GCA_013467465.1	Embryophyta	NA	NA	NA	127	626.482862	0.34	32895	1834.67069356455	902	4050	175	717	5.64853556485356	0.904197530864198	7.40904	0.0210486304268107	0.162937607980727	0.00562844863406372	3498.52826153376	172	1010	147	148	6.82432432432432	0.900990099009901	11.03305	0.0136837425351613	0.159608801296511	0.00397595087521935	904.907768942904	28298	64878	136	14848	4.36947737068965	0.898702179475323	1.935435	0.0161438971646999	0.152230435144607	0.00461013701120882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
